"";"city";"city_ibge_code";"date";"epidemiological_week";"estimated_population";"estimated_population_2019";"is_last";"is_repeated";"last_available_confirmed";"last_available_confirmed_per_100k_inhabitants";"last_available_date";"last_available_death_rate";"last_available_deaths";"order_for_place";"place_type";"state";"new_confirmed";"new_deaths"
"1";"Barra Mansa";3300407;"2020-03-05";10;184833;184412;"False";"False";1;0,54103;"2020-03-05";0;0;1;"city";"RJ";1;0
"2";"Barra Mansa";3300407;"2020-03-06";10;184833;184412;"False";"False";1;0,54103;"2020-03-06";0;0;2;"city";"RJ";0;0
"3";"Rio de Janeiro";3304557;"2020-03-06";10;6747815;6718903;"False";"False";1;0,01482;"2020-03-06";0;0;1;"city";"RJ";1;0
"4";"Barra Mansa";3300407;"2020-03-07";10;184833;184412;"False";"True";1;0,54103;"2020-03-06";0;0;3;"city";"RJ";0;0
"5";"Rio de Janeiro";3304557;"2020-03-07";10;6747815;6718903;"False";"True";1;0,01482;"2020-03-06";0;0;2;"city";"RJ";0;0
"6";"Barra Mansa";3300407;"2020-03-08";11;184833;184412;"False";"False";1;0,54103;"2020-03-08";0;0;4;"city";"RJ";0;0
"7";"Rio de Janeiro";3304557;"2020-03-08";11;6747815;6718903;"False";"False";2;0,02964;"2020-03-08";0;0;3;"city";"RJ";1;0
"8";"Barra Mansa";3300407;"2020-03-09";11;184833;184412;"False";"True";1;0,54103;"2020-03-08";0;0;5;"city";"RJ";0;0
"9";"Rio de Janeiro";3304557;"2020-03-09";11;6747815;6718903;"False";"True";2;0,02964;"2020-03-08";0;0;4;"city";"RJ";0;0
"10";"Barra Mansa";3300407;"2020-03-10";11;184833;184412;"False";"True";1;0,54103;"2020-03-08";0;0;6;"city";"RJ";0;0
"11";"Rio de Janeiro";3304557;"2020-03-10";11;6747815;6718903;"False";"True";2;0,02964;"2020-03-08";0;0;5;"city";"RJ";0;0
"12";"Barra Mansa";3300407;"2020-03-11";11;184833;184412;"False";"True";1;0,54103;"2020-03-08";0;0;7;"city";"RJ";0;0
"13";"Rio de Janeiro";3304557;"2020-03-11";11;6747815;6718903;"False";"True";2;0,02964;"2020-03-08";0;0;6;"city";"RJ";0;0
"14";"Barra Mansa";3300407;"2020-03-12";11;184833;184412;"False";"False";1;0,54103;"2020-03-12";0;0;8;"city";"RJ";0;0
"15";"Niterói";3303302;"2020-03-12";11;515317;513584;"False";"False";1;0,19406;"2020-03-12";0;0;1;"city";"RJ";1;0
"16";"Rio de Janeiro";3304557;"2020-03-12";11;6747815;6718903;"False";"False";13;0,19265;"2020-03-12";0;0;7;"city";"RJ";11;0
"17";"Barra Mansa";3300407;"2020-03-13";11;184833;184412;"False";"True";1;0,54103;"2020-03-12";0;0;9;"city";"RJ";0;0
"18";"Niterói";3303302;"2020-03-13";11;515317;513584;"False";"True";1;0,19406;"2020-03-12";0;0;2;"city";"RJ";0;0
"19";"Rio de Janeiro";3304557;"2020-03-13";11;6747815;6718903;"False";"True";13;0,19265;"2020-03-12";0;0;8;"city";"RJ";0;0
"20";"Barra Mansa";3300407;"2020-03-14";11;184833;184412;"False";"True";1;0,54103;"2020-03-12";0;0;10;"city";"RJ";0;0
"21";"Niterói";3303302;"2020-03-14";11;515317;513584;"False";"True";1;0,19406;"2020-03-12";0;0;3;"city";"RJ";0;0
"22";"Rio de Janeiro";3304557;"2020-03-14";11;6747815;6718903;"False";"True";13;0,19265;"2020-03-12";0;0;9;"city";"RJ";0;0
"23";"Barra Mansa";3300407;"2020-03-15";12;184833;184412;"False";"False";1;0,54103;"2020-03-15";0;0;11;"city";"RJ";0;0
"24";"Niterói";3303302;"2020-03-15";12;515317;513584;"False";"False";1;0,19406;"2020-03-15";0;0;4;"city";"RJ";0;0
"25";"Rio de Janeiro";3304557;"2020-03-15";12;6747815;6718903;"False";"False";22;0,32603;"2020-03-15";0;0;10;"city";"RJ";9;0
"26";"Barra Mansa";3300407;"2020-03-16";12;184833;184412;"False";"False";1;0,54103;"2020-03-16";0;0;12;"city";"RJ";0;0
"27";"Niterói";3303302;"2020-03-16";12;515317;513584;"False";"False";1;0,19406;"2020-03-16";0;0;5;"city";"RJ";0;0
"28";"Rio de Janeiro";3304557;"2020-03-16";12;6747815;6718903;"False";"False";23;0,34085;"2020-03-16";0;0;11;"city";"RJ";1;0
"29";"Barra Mansa";3300407;"2020-03-17";12;184833;184412;"False";"True";1;0,54103;"2020-03-16";0;0;13;"city";"RJ";0;0
