"date","CumConfirmed","CumDeaths","NewConfirmed","NewDeaths"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,2,0
2020-02-01,2,0,0,0
2020-02-02,2,0,0,0
2020-02-03,2,0,0,0
2020-02-04,2,0,0,0
2020-02-05,2,0,0,0
2020-02-06,2,0,0,0
2020-02-07,3,0,1,0
2020-02-08,3,0,0,0
2020-02-09,3,0,0,0
2020-02-10,3,0,0,0
2020-02-11,3,0,0,0
2020-02-12,3,0,0,0
2020-02-13,3,0,0,0
2020-02-14,3,0,0,0
2020-02-15,3,0,0,0
2020-02-16,3,0,0,0
2020-02-17,3,0,0,0
2020-02-18,3,0,0,0
2020-02-19,3,0,0,0
2020-02-20,3,0,0,0
2020-02-21,20,1,17,1
2020-02-22,62,2,42,1
2020-02-23,155,3,93,1
2020-02-24,229,7,74,4
2020-02-25,322,10,93,3
2020-02-26,453,12,131,2
2020-02-27,655,17,202,5
2020-02-28,888,21,233,4
2020-02-29,1128,29,240,8
2020-03-01,1694,34,566,5
2020-03-02,2036,52,342,18
2020-03-03,2502,79,466,27
2020-03-04,3089,107,587,28
2020-03-05,3858,148,769,41
2020-03-06,4636,197,778,49
2020-03-07,5883,233,1247,36
2020-03-08,7375,366,1492,133
2020-03-09,9172,463,1797,97
2020-03-10,10149,631,977,168
2020-03-11,12462,827,2313,196
2020-03-12,15113,1016,2651,189
2020-03-13,17660,1266,2547,250
2020-03-14,21157,1441,3497,175
2020-03-15,24747,1809,3590,368
2020-03-16,27980,2158,3233,349
2020-03-17,31506,2503,3526,345
2020-03-18,35713,2978,4207,475
2020-03-19,41035,3405,5322,427
2020-03-20,47021,4032,5986,627
2020-03-21,53578,4825,6557,793
2020-03-22,59138,5476,5560,651
2020-03-23,63927,6077,4789,601
2020-03-24,69176,6820,5249,743
2020-03-25,74386,7503,5210,683
2020-03-26,80589,8215,6203,712
2020-03-27,86498,9134,5909,919
2020-03-28,92472,10023,5974,889
