"date","CumConfirmed","CumDeaths","NewConfirmed","NewDeaths"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,2,0
2020-02-01,2,0,0,0
2020-02-02,2,0,0,0
2020-02-03,8,0,6,0
2020-02-04,8,0,0,0
2020-02-05,9,0,1,0
2020-02-06,9,0,0,0
2020-02-07,9,0,0,0
2020-02-08,13,0,4,0
2020-02-09,14,0,1,0
2020-02-10,14,0,0,0
2020-02-11,15,0,1,0
2020-02-12,16,0,1,0
2020-02-13,17,0,1,0
2020-02-14,18,0,1,0
2020-02-15,18,0,0,0
2020-02-16,18,0,0,0
2020-02-17,19,0,1,0
2020-02-18,19,0,0,0
2020-02-19,20,0,1,0
2020-02-20,22,0,2,0
2020-02-21,23,0,1,0
2020-02-22,23,0,0,0
2020-02-23,28,0,5,0
2020-02-24,30,0,2,0
2020-02-25,34,0,4,0
2020-02-26,37,0,3,0
2020-02-27,44,0,7,0
2020-02-28,56,0,12,0
2020-02-29,61,0,5,0
2020-03-01,94,0,33,0
2020-03-02,134,0,40,0
2020-03-03,189,0,55,0
2020-03-04,246,0,57,0
2020-03-05,295,0,49,0
2020-03-06,374,1,79,1
2020-03-07,429,2,55,1
2020-03-08,483,2,54,0
2020-03-09,630,3,147,1
2020-03-10,889,7,259,4
2020-03-11,1301,7,412,0
2020-03-12,1790,9,489,2
2020-03-13,2270,10,480,1
2020-03-14,2634,29,364,19
2020-03-15,3077,43,443,14
2020-03-16,3692,66,615,23
2020-03-17,4462,83,770,17
2020-03-18,5467,117,1005,34
2020-03-19,6533,163,1066,46
2020-03-20,7791,195,1258,32
2020-03-21,9006,253,1215,58
2020-03-22,10395,289,1389,36
2020-03-23,12744,365,2349,76
2020-03-24,15126,513,2382,148
2020-03-25,17843,704,2717,191
2020-03-26,20970,886,3127,182
2020-03-27,24219,1174,3249,288
2020-03-28,27062,1466,2843,292
2020-03-29,29954,1679,2892,213
2020-03-30,34281,2053,4327,374
